      table      |   month    | rows |                total                
-----------------+------------+------+-------------------------------------
 CustomerPayment | 2024-11-01 |   12 | 6428.910000000000000000000000000000
 CustomerPayment | 2024-12-01 |   12 | 6396.850000000000000000000000000000
 CustomerPayment | 2025-01-01 |   12 | 6575.230000000000000000000000000000
 CustomerPayment | 2025-02-01 |   12 | 6566.730000000000000000000000000000
 CustomerPayment | 2025-03-01 |   12 | 6482.420000000000000000000000000000
 CustomerPayment | 2025-04-01 |   12 | 6513.930000000000000000000000000000
 CustomerPayment | 2025-05-01 |   12 | 6461.060000000000000000000000000000
 CustomerPayment | 2025-06-01 |   12 | 6272.680000000000000000000000000000
 CustomerPayment | 2025-07-01 |   12 | 6452.300000000000000000000000000000
 CustomerPayment | 2025-08-01 |   12 | 6491.600000000000000000000000000000
 CustomerPayment | 2025-09-01 |   12 | 6416.490000000000000000000000000000
 Invoice         | 2024-11-01 |   12 |                            12138.39
 Invoice         | 2024-12-01 |   12 |                            12082.85
 Invoice         | 2025-01-01 |   12 |                            12038.68
 Invoice         | 2025-02-01 |   12 |                            12138.58
 Invoice         | 2025-03-01 |   12 |                            12225.41
 Invoice         | 2025-04-01 |   12 |                            12168.31
 Invoice         | 2025-05-01 |   12 |                            12160.55
 Invoice         | 2025-06-01 |   12 |                            12085.48
 Invoice         | 2025-07-01 |   12 |                            12063.72
 Invoice         | 2025-08-01 |   12 |                            12234.16
 Invoice         | 2025-09-01 |   12 |                            11983.46
 PosSale         | 2024-11-01 |   29 | 1554.460000000000000000000000000000
 PosSale         | 2024-12-01 |   41 | 2273.760000000000000000000000000000
 PosSale         | 2025-01-01 |   40 | 2121.600000000000000000000000000000
 PosSale         | 2025-02-01 |   37 | 2001.600000000000000000000000000000
 PosSale         | 2025-03-01 |   43 | 2515.190000000000000000000000000000
 PosSale         | 2025-04-01 |   39 | 2146.410000000000000000000000000000
 PosSale         | 2025-05-01 |   41 | 2228.840000000000000000000000000000
 PosSale         | 2025-06-01 |   39 | 2023.770000000000000000000000000000
 PosSale         | 2025-07-01 |   41 | 2192.900000000000000000000000000000
 PosSale         | 2025-08-01 |   40 | 2079.970000000000000000000000000000
 PosSale         | 2025-09-01 |   39 | 2129.640000000000000000000000000000
 PosSale         | 2025-10-01 |   11 |  588.440000000000000000000000000000
 PurchaseOrder   | 2024-11-01 |    9 |                                    
 PurchaseOrder   | 2024-12-01 |   11 |                                    
 PurchaseOrder   | 2025-01-01 |   10 |                                    
 PurchaseOrder   | 2025-02-01 |    9 |                                    
 PurchaseOrder   | 2025-03-01 |   11 |                                    
 PurchaseOrder   | 2025-04-01 |    9 |                                    
 PurchaseOrder   | 2025-05-01 |   11 |                                    
 PurchaseOrder   | 2025-06-01 |    9 |                                    
 PurchaseOrder   | 2025-07-01 |   11 |                                    
 PurchaseOrder   | 2025-08-01 |   10 |                                    
 PurchaseOrder   | 2025-09-01 |    9 |                                    
 PurchaseOrder   | 2025-10-01 |    1 |                                    
 SupplierBill    | 2024-11-01 |    9 | 5085.370000000000000000000000000000
 SupplierBill    | 2024-12-01 |    9 | 5113.750000000000000000000000000000
 SupplierBill    | 2025-01-01 |    9 | 5104.160000000000000000000000000000
 SupplierBill    | 2025-02-01 |    9 | 5069.610000000000000000000000000000
 SupplierBill    | 2025-03-01 |    9 | 5170.490000000000000000000000000000
 SupplierBill    | 2025-04-01 |    9 | 5108.560000000000000000000000000000
 SupplierBill    | 2025-05-01 |    9 | 5112.560000000000000000000000000000
 SupplierBill    | 2025-06-01 |    9 | 5085.340000000000000000000000000000
 SupplierBill    | 2025-07-01 |    9 | 5088.960000000000000000000000000000
 SupplierBill    | 2025-08-01 |    9 | 5082.420000000000000000000000000000
 SupplierBill    | 2025-09-01 |    9 | 5034.980000000000000000000000000000
(57 rows)

